レポート開始日,レポート終了日,広告名,広告配信,結果,結果インジケーター,結果の単価,広告セットの予算,広告セットの予算タイプ,"消化金額 (JPY)",インプレッション,リーチ,フリークエンシー,"CPM(インプレッション単価) (JPY)",リンククリック,終了日時,アトリビューション設定,入札,入札タイプ,前回の大きな変更,品質ランキング,エンゲージメント率ランキング,コンバージョン率ランキング,広告セット名
2026-03-09,2026-04-07,Olive-ad-j,inactive,,,,キャンペーン予算を使用,0,60,14,13,1.076923,4285.714286,1,継続,クリックから7日間、または表示から1日間,0,ABSOLUTE_OCPM,2026-03-25T08:12:36+0900,―,―,―,Olive-adset-01
2026-03-09,2026-04-07,Olive-ad-k,inactive,54,actions:offsite_conversion.fb_pixel_complete_registration,1943.18518519,キャンペーン予算を使用,0,104932,30118,12764,2.359605,3484.029484,2263,継続,クリックから7日間、または表示から1日間,0,ABSOLUTE_OCPM,2026-03-25T08:12:36+0900,―,―,―,Olive-adset-01
2026-03-09,2026-04-07,Olive-ad-n,inactive,10,actions:offsite_conversion.fb_pixel_complete_registration,2971.9,キャンペーン予算を使用,0,29719,15647,7260,2.155234,1899.341727,828,継続,クリックから7日間、または表示から1日間,0,ABSOLUTE_OCPM,2026-03-25T08:12:36+0900,―,―,―,Olive-adset-01
2026-03-09,2026-04-07,Travis-ad-023,inactive,10,actions:offsite_conversion.fb_pixel_complete_registration,2934.3,キャンペーン予算を使用,0,29343,11422,6151,1.856934,2568.989669,860,継続,クリックから7日間、または表示から1日間,0,ABSOLUTE_OCPM,2026-04-01T12:45:24+0900,―,―,―,Travis-adset-01
2026-03-09,2026-04-07,Travis-ad-029,inactive,,,,キャンペーン予算を使用,0,664,75,66,1.136364,8853.333333,16,継続,クリックから7日間、または表示から1日間,0,ABSOLUTE_OCPM,2026-04-01T12:45:24+0900,―,―,―,Travis-adset-01
2026-03-09,2026-04-07,Olive-ad-l,inactive,8,actions:offsite_conversion.fb_pixel_complete_registration,1811.625,キャンペーン予算を使用,0,14493,2975,1772,1.678894,4871.596639,249,継続,クリックから7日間、または表示から1日間,0,ABSOLUTE_OCPM,2026-03-25T08:12:36+0900,―,―,―,Olive-adset-01
2026-03-09,2026-04-07,Travis-ad-030,inactive,,,,キャンペーン予算を使用,0,259,72,53,1.358491,3597.222222,10,継続,クリックから7日間、または表示から1日間,0,ABSOLUTE_OCPM,2026-04-01T12:45:24+0900,―,―,―,Travis-adset-01
2026-03-09,2026-04-07,Travis-ad-031,inactive,1,actions:offsite_conversion.fb_pixel_complete_registration,1060,キャンペーン予算を使用,0,1060,313,226,1.384956,3386.58147,15,継続,クリックから7日間、または表示から1日間,0,ABSOLUTE_OCPM,2026-04-01T12:45:24+0900,―,―,―,Travis-adset-01
2026-03-09,2026-04-07,Olive-ad-m,inactive,31,actions:offsite_conversion.fb_pixel_complete_registration,1783.22580645,キャンペーン予算を使用,0,55280,24369,9763,2.496057,2268.455825,1433,継続,クリックから7日間、または表示から1日間,0,ABSOLUTE_OCPM,2026-03-25T08:12:36+0900,―,―,―,Olive-adset-01
2026-03-09,2026-04-07,Travis-ad-032,inactive,,,,キャンペーン予算を使用,0,586,259,173,1.49711,2262.548263,14,継続,クリックから7日間、または表示から1日間,0,ABSOLUTE_OCPM,2026-04-01T12:45:24+0900,―,―,―,Travis-adset-01
2026-03-09,2026-04-07,Olive-ad-s,inactive,,,,キャンペーン予算を使用,0,2885,851,550,1.547273,3390.12926,50,継続,クリックから7日間、または表示から1日間,0,ABSOLUTE_OCPM,2026-03-25T08:12:36+0900,―,―,―,Olive-adset-01
2026-03-09,2026-04-07,Olive-ad-q,inactive,4,actions:offsite_conversion.fb_pixel_complete_registration,486.5,キャンペーン予算を使用,0,1946,1167,530,2.201887,1667.523565,47,継続,クリックから7日間、または表示から1日間,0,ABSOLUTE_OCPM,2026-03-25T08:12:36+0900,―,―,―,Olive-adset-01
2026-03-09,2026-04-07,Travis-ad-031,inactive,5,actions:offsite_conversion.fb_pixel_complete_registration,2707,キャンペーン予算を使用,0,13535,5361,2860,1.874476,2524.715538,321,継続,クリックから7日間、または表示から1日間,0,ABSOLUTE_OCPM,2026-04-01T12:45:24+0900,―,―,―,Travis-adset-01
2026-03-09,2026-04-07,Travis-ad-033,inactive,2,actions:offsite_conversion.fb_pixel_complete_registration,1389,キャンペーン予算を使用,0,2778,427,336,1.270833,6505.854801,31,継続,クリックから7日間、または表示から1日間,0,ABSOLUTE_OCPM,2026-04-01T12:45:24+0900,―,―,―,Travis-adset-01
2026-03-09,2026-04-07,Massive-A1-成功体験,active,171,actions:offsite_conversion.fb_pixel_complete_registration,843.75438596,キャンペーン予算を使用,0,144282,90294,29226,3.089509,1597.913483,3196,継続,クリックから7日間、または表示から1日間,0,ABSOLUTE_OCPM,2026-04-08T16:56:54+0900,―,―,―,Massive-adset-01
2026-03-09,2026-04-07,Massive-D1-アプリ疲れ,active,39,actions:offsite_conversion.fb_pixel_complete_registration,1404.79487179,キャンペーン予算を使用,0,54787,22361,8806,2.539291,2450.114038,1017,継続,クリックから7日間、または表示から1日間,0,ABSOLUTE_OCPM,2026-04-08T16:56:54+0900,―,―,―,Massive-adset-01
2026-03-09,2026-04-07,Massive-C1-30秒訴求,active,211,actions:offsite_conversion.fb_pixel_complete_registration,963.67298578,キャンペーン予算を使用,0,203335,72979,28741,2.539195,2786.212472,4248,継続,クリックから7日間、または表示から1日間,0,ABSOLUTE_OCPM,2026-04-08T16:56:54+0900,―,―,―,Massive-adset-01
2026-03-09,2026-04-07,Olive-A1-成功体験,not_delivering,27,actions:offsite_conversion.fb_pixel_complete_registration,1155.51851852,キャンペーン予算を使用,0,31199,11669,5901,1.977461,2673.665267,661,継続,クリックから7日間、または表示から1日間,0,ABSOLUTE_OCPM,2026-03-25T08:12:36+0900,―,―,―,Olive-adset-01
2026-03-09,2026-04-07,Olive-C3-無料強調,not_delivering,40,actions:offsite_conversion.fb_pixel_complete_registration,917.525,キャンペーン予算を使用,0,36701,9427,4873,1.934537,3893.179166,744,継続,クリックから7日間、または表示から1日間,0,ABSOLUTE_OCPM,2026-03-25T08:12:36+0900,―,―,―,Olive-adset-01
2026-03-09,2026-04-07,Travis-A2-数字で証明,not_delivering,27,actions:offsite_conversion.fb_pixel_complete_registration,1147.48148148,キャンペーン予算を使用,0,30982,11205,4888,2.292349,2765.015618,790,継続,クリックから7日間、または表示から1日間,0,ABSOLUTE_OCPM,2026-04-01T12:45:24+0900,―,―,―,Travis-adset-01
2026-03-09,2026-04-07,Travis-B2-既読の喜び,not_delivering,40,actions:offsite_conversion.fb_pixel_complete_registration,932.25,キャンペーン予算を使用,0,37290,31201,10630,2.935183,1195.154001,1340,継続,クリックから7日間、または表示から1日間,0,ABSOLUTE_OCPM,2026-04-01T12:45:24+0900,―,―,―,Travis-adset-01
2026-03-09,2026-04-07,Travis-C1-30秒訴求,not_delivering,95,actions:offsite_conversion.fb_pixel_complete_registration,1306.65263158,キャンペーン予算を使用,0,124132,99281,25600,3.878164,1250.309727,3484,継続,クリックから7日間、または表示から1日間,0,ABSOLUTE_OCPM,2026-04-01T12:45:24+0900,―,―,―,Travis-adset-01
2026-03-09,2026-04-07,Travis-D1-アプリ疲れ,inactive,36,actions:offsite_conversion.fb_pixel_complete_registration,1774.75,キャンペーン予算を使用,0,63891,29840,10610,2.812441,2141.119303,3206,継続,クリックから7日間、または表示から1日間,0,ABSOLUTE_OCPM,2026-04-01T12:45:24+0900,―,―,―,Travis-adset-01
2026-03-09,2026-04-07,Massive-A1-成功体験,active,9,actions:offsite_conversion.fb_pixel_complete_registration,797.33333333,キャンペーン予算を使用,0,7176,4369,3691,1.18369,1642.481117,35,継続,クリックから7日間、または表示から1日間,0,ABSOLUTE_OCPM,2026-04-08T16:56:54+0900,―,―,―,Massive-adset-01
2026-03-09,2026-04-07,Massive-A3-ギャップ訴求,active,13,actions:offsite_conversion.fb_pixel_complete_registration,1129.76923077,キャンペーン予算を使用,0,14687,7581,5375,1.410419,1937.343358,278,継続,クリックから7日間、または表示から1日間,0,ABSOLUTE_OCPM,2026-04-08T16:56:54+0900,―,―,―,Massive-adset-01
2026-03-09,2026-04-07,Massive-ad-a,inactive,,,,キャンペーン予算を使用,0,0,0,0,0,0,,継続,クリックから7日間、または表示から1日間,0,ABSOLUTE_OCPM,2026-04-08T16:56:54+0900,―,―,―,Massive-adset-01
2026-03-09,2026-04-07,Massive-ad-c,inactive,,,,キャンペーン予算を使用,0,0,0,0,0,0,,継続,クリックから7日間、または表示から1日間,0,ABSOLUTE_OCPM,2026-04-08T16:56:54+0900,―,―,―,Massive-adset-01
2026-03-09,2026-04-07,Massive-ad-f,inactive,,,,キャンペーン予算を使用,0,0,0,0,0,0,,継続,クリックから7日間、または表示から1日間,0,ABSOLUTE_OCPM,2026-04-08T16:56:54+0900,―,―,―,Massive-adset-01
2026-03-09,2026-04-07,Massive-ad-g,inactive,,,,キャンペーン予算を使用,0,0,0,0,0,0,,継続,クリックから7日間、または表示から1日間,0,ABSOLUTE_OCPM,2026-04-08T16:56:54+0900,―,―,―,Massive-adset-01
2026-03-09,2026-04-07,Massive-ad-j,inactive,,,,キャンペーン予算を使用,0,0,0,0,0,0,,継続,クリックから7日間、または表示から1日間,0,ABSOLUTE_OCPM,2026-04-08T16:56:54+0900,―,―,―,Massive-adset-01
2026-03-09,2026-04-07,Massive-ad-k,inactive,,,,キャンペーン予算を使用,0,0,0,0,0,0,,継続,クリックから7日間、または表示から1日間,0,ABSOLUTE_OCPM,2026-04-08T16:56:54+0900,―,―,―,Massive-adset-01
2026-03-09,2026-04-07,Massive-ad-m,inactive,,,,キャンペーン予算を使用,0,0,0,0,0,0,,継続,クリックから7日間、または表示から1日間,0,ABSOLUTE_OCPM,2026-04-08T16:56:54+0900,―,―,―,Massive-adset-01
2026-03-09,2026-04-07,Massive-ad-o,inactive,,,,キャンペーン予算を使用,0,0,0,0,0,0,,継続,クリックから7日間、または表示から1日間,0,ABSOLUTE_OCPM,2026-04-08T16:56:54+0900,―,―,―,Massive-adset-01
2026-03-09,2026-04-07,Massive-ad-p,inactive,,,,キャンペーン予算を使用,0,0,0,0,0,0,,継続,クリックから7日間、または表示から1日間,0,ABSOLUTE_OCPM,2026-04-08T16:56:54+0900,―,―,―,Massive-adset-01
2026-03-09,2026-04-07,Massive-ad-r,inactive,,,,キャンペーン予算を使用,0,0,0,0,0,0,,継続,クリックから7日間、または表示から1日間,0,ABSOLUTE_OCPM,2026-04-08T16:56:54+0900,―,―,―,Massive-adset-01
2026-03-09,2026-04-07,Massive-ad-s,inactive,,,,キャンペーン予算を使用,0,0,0,0,0,0,,継続,クリックから7日間、または表示から1日間,0,ABSOLUTE_OCPM,2026-04-08T16:56:54+0900,―,―,―,Massive-adset-01
2026-03-09,2026-04-07,Massive-ad-u,inactive,,,,キャンペーン予算を使用,0,0,0,0,0,0,,継続,クリックから7日間、または表示から1日間,0,ABSOLUTE_OCPM,2026-04-08T16:56:54+0900,―,―,―,Massive-adset-01
2026-03-09,2026-04-07,"Massive CV 0703 01",not_delivering,,,,キャンペーン予算を使用,0,0,0,0,0,0,,継続,クリックから7日間、表示から1日間、またはエンゲージビューから1日間,0,ABSOLUTE_OCPM,2025-07-03T10:58:31+0900,―,―,―,"Massive CV 0703"
2026-03-09,2026-04-07,Massive-ad-u,inactive,,,,キャンペーン予算を使用,0,0,0,0,0,0,,継続,クリックから7日間、または表示から1日間,0,ABSOLUTE_OCPM,2026-04-08T16:56:54+0900,―,―,―,Massive-adset-01
2026-03-09,2026-04-07,Massive-ad-x,inactive,,,,キャンペーン予算を使用,0,0,0,0,0,0,,継続,クリックから7日間、または表示から1日間,0,ABSOLUTE_OCPM,2026-04-08T16:56:54+0900,―,―,―,Massive-adset-01
2026-03-09,2026-04-07,Massive-ad-z,inactive,,,,キャンペーン予算を使用,0,0,0,0,0,0,,継続,クリックから7日間、または表示から1日間,0,ABSOLUTE_OCPM,2026-04-08T16:56:54+0900,―,―,―,Massive-adset-01
2026-03-09,2026-04-07,Olive-ad-p,inactive,,,,キャンペーン予算を使用,0,0,0,0,0,0,,継続,クリックから7日間、または表示から1日間,0,ABSOLUTE_OCPM,2026-03-25T08:12:36+0900,―,―,―,Olive-adset-01
2026-03-09,2026-04-07,Olive-A1-成功体験,inactive,4,actions:offsite_conversion.fb_pixel_complete_registration,2213.25,キャンペーン予算を使用,0,8853,2361,1394,1.693687,3749.682338,112,継続,クリックから7日間、または表示から1日間,0,ABSOLUTE_OCPM,2026-03-25T08:12:36+0900,―,―,―,Olive-adset-01
2026-03-09,2026-04-07,Olive-B1-休日の寂しさ,not_delivering,20,actions:offsite_conversion.fb_pixel_complete_registration,792.45,キャンペーン予算を使用,0,15849,9141,4007,2.281258,1733.836561,504,継続,クリックから7日間、または表示から1日間,0,ABSOLUTE_OCPM,2026-03-25T08:12:36+0900,―,―,―,Olive-adset-01
2026-03-09,2026-04-07,Olive-C2-安心感,not_delivering,1,actions:offsite_conversion.fb_pixel_complete_registration,2159,キャンペーン予算を使用,0,2159,559,429,1.30303,3862.254025,29,継続,クリックから7日間、または表示から1日間,0,ABSOLUTE_OCPM,2026-03-25T08:12:36+0900,―,―,―,Olive-adset-01
2026-03-09,2026-04-07,Massive-B3-定年前の焦り,active,1,actions:offsite_conversion.fb_pixel_complete_registration,2125,キャンペーン予算を使用,0,2125,1248,1203,1.037406,1702.724359,,継続,クリックから7日間、または表示から1日間,0,ABSOLUTE_OCPM,2026-04-08T16:56:54+0900,―,―,―,Massive-adset-01
2026-03-09,2026-04-07,Massive-C1-30秒訴求,active,4,actions:offsite_conversion.fb_pixel_complete_registration,1422.25,キャンペーン予算を使用,0,5689,2615,2162,1.209528,2175.525813,,継続,クリックから7日間、または表示から1日間,0,ABSOLUTE_OCPM,2026-04-08T16:56:54+0900,―,―,―,Massive-adset-01
2026-03-09,2026-04-07,Massive-D1-アプリ疲れ,active,3,actions:offsite_conversion.fb_pixel_complete_registration,525.33333333,キャンペーン予算を使用,0,1576,821,695,1.181295,1919.610231,29,継続,クリックから7日間、または表示から1日間,0,ABSOLUTE_OCPM,2026-04-08T16:56:54+0900,―,―,―,Massive-adset-01
2026-03-09,2026-04-07,Massive-B1-休日の寂しさ,active,37,actions:offsite_conversion.fb_pixel_complete_registration,1076.40540541,キャンペーン予算を使用,0,39827,24680,10772,2.291125,1613.735818,1354,継続,クリックから7日間、または表示から1日間,0,ABSOLUTE_OCPM,2026-04-08T16:56:54+0900,―,―,―,Massive-adset-01
2026-03-09,2026-04-07,Massive-A3-ギャップ訴求,active,21,actions:offsite_conversion.fb_pixel_complete_registration,1109.0952381,キャンペーン予算を使用,0,23291,8617,5260,1.638213,2702.912847,654,継続,クリックから7日間、または表示から1日間,0,ABSOLUTE_OCPM,2026-04-08T16:56:54+0900,―,―,―,Massive-adset-01
2026-03-09,2026-04-07,Massive-ad-03,inactive,,,,キャンペーン予算を使用,0,0,0,0,0,0,,継続,クリックから7日間、または表示から1日間,0,ABSOLUTE_OCPM,2026-04-08T16:56:54+0900,―,―,―,Massive-adset-01
2026-03-09,2026-04-07,Massive-ad-00,inactive,,,,キャンペーン予算を使用,0,0,0,0,0,0,,継続,クリックから7日間、または表示から1日間,0,ABSOLUTE_OCPM,2026-04-08T16:56:54+0900,―,―,―,Massive-adset-01
2026-03-09,2026-04-07,Massive-ad-b,inactive,,,,キャンペーン予算を使用,0,0,0,0,0,0,,継続,クリックから7日間、または表示から1日間,0,ABSOLUTE_OCPM,2026-04-08T16:56:54+0900,―,―,―,Massive-adset-01
2026-03-09,2026-04-07,Massive-ad-d,inactive,,,,キャンペーン予算を使用,0,0,0,0,0,0,,継続,クリックから7日間、または表示から1日間,0,ABSOLUTE_OCPM,2026-04-08T16:56:54+0900,―,―,―,Massive-adset-01
2026-03-09,2026-04-07,Massive-ad-e,inactive,,,,キャンペーン予算を使用,0,0,0,0,0,0,,継続,クリックから7日間、または表示から1日間,0,ABSOLUTE_OCPM,2026-04-08T16:56:54+0900,―,―,―,Massive-adset-01
2026-03-09,2026-04-07,Massive-ad-h,inactive,,,,キャンペーン予算を使用,0,0,0,0,0,0,,継続,クリックから7日間、または表示から1日間,0,ABSOLUTE_OCPM,2026-04-08T16:56:54+0900,―,―,―,Massive-adset-01
2026-03-09,2026-04-07,Massive-ad-i,inactive,,,,キャンペーン予算を使用,0,0,0,0,0,0,,継続,クリックから7日間、または表示から1日間,0,ABSOLUTE_OCPM,2026-04-08T16:56:54+0900,―,―,―,Massive-adset-01
2026-03-09,2026-04-07,Massive-ad-l,inactive,,,,キャンペーン予算を使用,0,0,0,0,0,0,,継続,クリックから7日間、または表示から1日間,0,ABSOLUTE_OCPM,2026-04-08T16:56:54+0900,―,―,―,Massive-adset-01
2026-03-09,2026-04-07,Massive-ad-n,inactive,,,,キャンペーン予算を使用,0,0,0,0,0,0,,継続,クリックから7日間、または表示から1日間,0,ABSOLUTE_OCPM,2026-04-08T16:56:54+0900,―,―,―,Massive-adset-01
2026-03-09,2026-04-07,Massive-ad-q,inactive,,,,キャンペーン予算を使用,0,0,0,0,0,0,,継続,クリックから7日間、または表示から1日間,0,ABSOLUTE_OCPM,2026-04-08T16:56:54+0900,―,―,―,Massive-adset-01
2026-03-09,2026-04-07,Massive-ad-t,inactive,,,,キャンペーン予算を使用,0,0,0,0,0,0,,継続,クリックから7日間、または表示から1日間,0,ABSOLUTE_OCPM,2026-04-08T16:56:54+0900,―,―,―,Massive-adset-01
2026-03-09,2026-04-07,Massive-ad-s,inactive,,,,キャンペーン予算を使用,0,0,0,0,0,0,,継続,クリックから7日間、または表示から1日間,0,ABSOLUTE_OCPM,2026-04-08T16:56:54+0900,―,―,―,Massive-adset-01
2026-03-09,2026-04-07,"Massive CV 0703 02",not_delivering,,,,キャンペーン予算を使用,0,0,0,0,0,0,,継続,クリックから7日間、表示から1日間、またはエンゲージビューから1日間,0,ABSOLUTE_OCPM,2025-07-03T10:58:31+0900,―,―,―,"Massive CV 0703"
2026-03-09,2026-04-07,Massive-ad-y,inactive,,,,キャンペーン予算を使用,0,0,0,0,0,0,,継続,クリックから7日間、または表示から1日間,0,ABSOLUTE_OCPM,2026-04-08T16:56:54+0900,―,―,―,Massive-adset-01
2026-03-09,2026-04-07,Massive-ad-a01,inactive,,,,キャンペーン予算を使用,0,0,0,0,0,0,,継続,クリックから7日間、または表示から1日間,0,ABSOLUTE_OCPM,2026-04-08T16:56:54+0900,―,―,―,Massive-adset-01
2026-03-09,2026-04-07,Travis-ad-020,inactive,,,,キャンペーン予算を使用,0,0,0,0,0,0,,継続,クリックから7日間、または表示から1日間,0,ABSOLUTE_OCPM,2026-04-01T12:45:24+0900,―,―,―,Travis-adset-01
2026-03-09,2026-04-07,Travis-ad-021,inactive,,,,キャンペーン予算を使用,0,0,0,0,0,0,,継続,クリックから7日間、または表示から1日間,0,ABSOLUTE_OCPM,2026-04-01T12:45:24+0900,―,―,―,Travis-adset-01
2026-03-09,2026-04-07,Olive-ad-o,inactive,,,,キャンペーン予算を使用,0,0,0,0,0,0,,継続,クリックから7日間、または表示から1日間,0,ABSOLUTE_OCPM,2026-03-25T08:12:36+0900,―,―,―,Olive-adset-01
2026-03-09,2026-04-07,"Olive-ad-k - コピー",inactive,,,,キャンペーン予算を使用,0,0,0,0,0,0,,継続,クリックから7日間、または表示から1日間,0,ABSOLUTE_OCPM,2026-03-25T08:12:36+0900,―,―,―,Olive-adset-01
2026-03-09,2026-04-07,Travis-A1-ストレート訴求,not_delivering,,,,キャンペーン予算を使用,0,0,0,0,0,0,,継続,クリックから7日間、または表示から1日間,0,ABSOLUTE_OCPM,2026-04-01T12:45:24+0900,―,―,―,Travis-adset-01
